Format Version,1.21,Take Name,Outdoor_2018_05_17_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-05-17 08.10.51 PM,Total Frames in Take,44265,Total Exported Frames,44265,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
0,0.000000,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
1,0.008333,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
2,0.016667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
3,0.025000,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
4,0.033333,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
5,0.041667,-0.003971,0.999689,-0.000346,-0.024626,-0.070399,0.217144,0.340966,0.000404
6,0.050000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
7,0.058333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
8,0.066667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
9,0.075000,-0.002306,0.999724,-0.000328,-0.023393,-0.070519,0.217004,0.341016,0.000886
10,0.083333,-0.002573,0.999705,-0.001202,-0.024111,-0.070649,0.216905,0.341069,0.000790
11,0.091667,-0.002368,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
12,0.100000,-0.002368,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
13,0.108333,-0.002306,0.999724,-0.000328,-0.023393,-0.070519,0.217004,0.341016,0.000886
14,0.116667,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
15,0.125000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
16,0.133333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
17,0.141667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
18,0.150000,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
19,0.158333,-0.002306,0.999724,-0.000328,-0.023393,-0.070520,0.217004,0.341016,0.000886
20,0.166667,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
21,0.175000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
